taxa_id	count_won_vote	count_truth_table	accuracy
6	1	1	1
7	1	1	1
9	1	1	1
10	1	1	1
11	1	1	1
13	1	1	1
14	1	1	1
18	4	4	1
19	4	4	1
20	2	2	1
22	14	14	1
24	4	4	1
32	6	6	1
33	2	4	0.5
34	4	4	1
40	1	1	1
41	1	1	1
56	2	2	1
75	4	4	1
88	1	1	1
104	2	2	1
105	1	1	1
106	1	1	1
118	0	1	0
119	1	1	1
120	1	1	1
127	1	1	1
128	1	1	1
138	2	4	0.5
139	1	3	0.333333333333333
140	2	2	1
142	1	1	1
146	3	3	1
154	1	1	1
157	3	3	1
158	3	3	1
159	1	1	1
160	1	1	1
171	5	5	1
172	2	2	1
173	1	1	1
174	3	3	1
191	1	1	1
193	1	1	1
194	3	3	1
196	2	2	1
199	1	1	1
200	3	3	1
201	1	1	1
209	11	11	1
210	6	7	0.857142857142857
212	3	3	1
213	1	1	1
217	3	3	1
226	3	3	1
228	2	2	1
234	8	8	1
235	4	4	1
237	4	4	1
262	3	3	1
263	1	1	1
265	4	4	1
266	4	4	1
270	4	4	1
274	4	4	1
277	1	1	1
283	1	1	1
285	1	1	1
286	23	24	0.958333333333333
287	11	11	1
288	3	3	1
292	1	1	1
294	12	12	1
300	1	1	1
303	8	9	0.888888888888889
305	1	1	1
316	2	2	1
317	5	6	0.833333333333333
329	3	3	1
338	4	4	1
339	3	3	1
346	2	2	1
347	0	1	0
352	6	6	1
354	6	6	1
357	2	2	1
358	1	1	1
373	1	1	1
374	4	10	0.4
379	2	4	0.5
382	1	1	1
384	2	2	1
404	4	4	1
405	4	4	1
407	6	7	0.857142857142857
408	3	3	1
413	3	3	1
414	3	3	1
416	1	1	1
421	1	1	1
434	1	1	1
438	1	1	1
445	1	1	1
450	1	1	1
469	4	7	0.571428571428571
470	4	4	1
475	1	1	1
480	1	1	1
482	7	7	1
485	2	3	0.666666666666667
486	2	3	0.666666666666667
487	3	6	0.5
497	5	5	1
499	1	1	1
500	1	1	1
517	3	4	0.75
518	2	3	0.666666666666667
519	1	1	1
520	1	2	0.5
521	1	1	1
522	1	1	1
532	1	1	1
533	1	1	1
541	1	1	1
542	1	1	1
544	1	1	1
545	1	1	1
547	3	3	1
548	2	2	1
550	1	2	0.5
551	1	1	1
552	1	1	1
553	3	3	1
554	1	1	1
561	14	16	0.875
562	13	16	0.8125
564	1	1	1
570	3	5	0.6
571	1	1	1
573	0	2	0
577	0	1	0
583	1	1	1
584	1	1	1
586	1	1	1
588	1	1	1
590	4	7	0.571428571428571
613	3	3	1
620	5	10	0.5
621	2	4	0.5
622	1	3	0.333333333333333
623	2	7	0.285714285714286
624	2	5	0.4
626	1	1	1
629	3	3	1
630	1	1	1
632	2	2	1
633	1	1	1
635	3	3	1
636	3	3	1
642	2	2	1
645	1	1	1
654	1	1	1
657	1	1	1
662	7	7	1
663	1	1	1
666	4	4	1
669	1	1	1
670	3	3	1
672	2	2	1
680	2	3	0.666666666666667
688	0	1	0
713	4	4	1
714	1	1	1
724	6	6	1
727	4	4	1
729	1	1	1
730	1	1	1
731	5	5	1
732	1	1	1
738	1	1	1
745	2	2	1
747	2	2	1
750	1	1	1
768	7	7	1
769	4	4	1
770	2	2	1
773	4	4	1
776	1	1	1
777	1	1	1
779	2	2	1
780	6	6	1
781	1	1	1
782	1	1	1
783	3	3	1
784	2	2	1
785	1	2	0.5
786	2	2	1
787	0	1	0
803	3	3	1
810	3	3	1
813	1	1	1
816	8	8	1
817	2	2	1
821	7	7	1
823	2	2	1
826	1	1	1
830	1	1	1
832	1	1	1
833	1	1	1
836	4	4	1
837	4	4	1
838	5	5	1
839	2	2	1
843	1	1	1
844	1	1	1
848	3	3	1
851	3	3	1
862	6	6	1
863	6	6	1
869	2	2	1
870	2	2	1
872	5	5	1
873	1	1	1
876	1	1	1
880	1	1	1
881	1	1	1
893	1	1	1
894	1	1	1
904	1	1	1
905	1	1	1
906	1	1	1
907	1	1	1
911	6	6	1
912	4	4	1
913	5	5	1
914	7	7	1
915	3	3	1
916	4	4	1
919	3	3	1
920	1	1	1
921	2	2	1
926	0	1	0
933	3	3	1
939	1	1	1
940	1	1	1
943	5	5	1
944	3	3	1
945	4	4	1
948	1	1	1
950	1	1	1
953	2	2	1
958	1	1	1
959	1	1	1
963	1	1	1
964	1	1	1
970	1	1	1
978	4	4	1
979	3	3	1
984	2	2	1
985	4	4	1
986	2	2	1
995	1	1	1
1016	2	2	1
1018	2	2	1
1060	9	9	1
1061	1	1	1
1063	9	9	1
1073	7	7	1
1076	7	7	1
1081	7	7	1
1085	7	7	1
1091	7	9	0.777777777777778
1092	6	6	1
1094	4	5	0.8
1096	4	4	1
1098	1	1	1
1099	6	6	1
1100	6	6	1
1101	4	4	1
1102	3	3	1
1107	8	8	1
1108	6	6	1
1129	8	8	1
1158	0	1	0
1163	4	4	1
1172	4	4	1
1177	1	1	1
1205	4	4	1
1206	4	4	1
1218	4	4	1
1219	4	4	1
1227	7	7	1
1229	6	6	1
1231	3	3	1
1234	1	1	1
1243	5	6	0.833333333333333
1244	1	1	1
1245	4	5	0.8
1247	4	4	1
1252	1	1	1
1253	7	7	1
1255	7	7	1
1257	1	1	1
1260	2	2	1
1261	1	1	1
1263	1	1	1
1264	1	1	1
1269	9	9	1
1270	9	9	1
1276	1	1	1
1279	17	17	1
1280	8	13	0.615384615384615
1282	11	11	1
1283	1	1	1
1293	0	1	0
1298	9	9	1
1299	3	3	1
1301	20	26	0.769230769230769
1302	1	2	0.5
1303	1	1	1
1304	1	1	1
1305	1	1	1
1307	3	3	1
1308	7	7	1
1309	6	6	1
1311	5	8	0.625
1313	6	7	0.857142857142857
1314	4	4	1
1318	1	1	1
1328	1	5	0.2
1334	1	1	1
1336	1	1	1
1348	1	1	1
1349	2	2	1
1350	11	15	0.733333333333333
1351	6	10	0.6
1352	4	4	1
1357	8	8	1
1358	8	8	1
1380	1	1	1
1382	1	1	1
1386	16	22	0.727272727272727
1390	0	1	0
1392	2	2	1
1393	1	1	1
1396	8	10	0.8
1404	2	2	1
1413	2	2	1
1423	3	4	0.75
1428	3	11	0.272727272727273
1452	3	3	1
1462	1	1	1
1464	1	1	1
1485	10	12	0.833333333333333
1488	1	1	1
1491	1	1	1
1493	2	2	1
1496	2	2	1
1502	2	2	1
1511	1	1	1
1513	1	1	1
1515	4	4	1
1517	1	1	1
1520	7	7	1
1521	1	1	1
1525	5	5	1
1538	2	2	1
1542	1	1	1
1562	1	1	1
1569	1	1	1
1570	5	6	0.833333333333333
1571	1	1	1
1573	2	2	1
1575	1	1	1
1578	19	19	1
1579	1	1	1
1580	6	6	1
1581	1	1	1
1582	0	3	0
1584	4	4	1
1587	3	3	1
1590	4	4	1
1596	6	6	1
1597	6	6	1
1598	1	1	1
1613	2	2	1
1623	1	1	1
1624	2	2	1
1637	9	9	1
1638	1	1	1
1639	5	5	1
1640	1	1	1
1643	4	4	1
1654	3	5	0.6
1660	3	3	1
1663	4	6	0.666666666666667
1678	7	7	1
1680	2	2	1
1681	3	3	1
1685	1	1	1
1696	3	3	1
1703	3	3	1
1707	1	1	1
1711	1	1	1
1716	7	7	1
1717	3	3	1
1718	3	3	1
1719	1	1	1
1727	1	1	1
1730	2	2	1
1736	2	2	1
1743	5	6	0.833333333333333
1744	1	1	1
1747	4	5	0.8
1754	7	7	1
1757	0	1	0
1763	10	11	0.909090909090909
1764	2	2	1
1765	1	3	0.333333333333333
1767	1	1	1
1769	3	3	1
1772	2	2	1
1773	2	3	0.666666666666667
1777	0	1	0
1817	2	2	1
1827	3	7	0.428571428571429
1830	0	4	0
1835	2	2	1
1836	2	2	1
1839	4	4	1
1851	1	1	1
1852	1	1	1
