output	sample	tool	fp	tp	fn	tn	sensitivity	specificity	pred_val_pos	pred_val_neg
full	ABRF_MGRG_10ng	BlastMeganFiltered	9	28	6	516907	0.823529411764706	0.99998258904735	0.756756756756757	0.999988392630868
full	ABRF_MGRG_10ng	BlastMeganFilteredLiberal	44	30	4	516870	0.882352941176471	0.999914879457705	0.405405405405405	0.999992261170034
full	ABRF_MGRG_10ng	ClarkM1Default	1659	29	5	515256	0.852941176470588	0.996790574852732	0.0171800947867299	0.999990296179994
full	ABRF_MGRG_10ng	ClarkM4Spaced	511	29	5	516404	0.852941176470588	0.999011442887128	0.0537037037037037	0.999990317752014
full	ABRF_MGRG_10ng	DiamondMegan	35	27	7	516882	0.794117647058823	0.999932290870681	0.435483870967742	0.999986457440572
full	ABRF_MGRG_10ng	Gottcha	0	22	12	516922	0.647058823529412	1	1	0.999976786204815
full	ABRF_MGRG_10ng	Kraken	2388	33	1	514523	0.970588235294118	0.99538024921118	0.0136307311028501	0.999998056456064
full	ABRF_MGRG_10ng	KrakenFiltered	122	32	2	516790	0.941176470588235	0.999763983037732	0.207792207792208	0.999996129971052
full	ABRF_MGRG_10ng	LMAT	631	33	1	516280	0.970588235294118	0.998779286956555	0.0496987951807229	0.999998063070305
full	ABRF_MGRG_10ng	MetaFlow	2	25	9	516917	0.735294117647059	0.999996130921866	0.925925925925926	0.999982589384167
full	ABRF_MGRG_10ng	MetaPallette-SmallDB-qual4-default	111	23	11	516810	0.676470588235294	0.999785266994376	0.171641791044776	0.999978716035146
full	ABRF_MGRG_10ng	MetaPallette-SmallDB-qual4-specific	163	23	11	516758	0.676470588235294	0.999684671352102	0.123655913978495	0.999978713893442
full	ABRF_MGRG_10ng	Metaphlan	3	25	9	516916	0.735294117647059	0.999994196382799	0.892857142857143	0.999982589350486
full	ABRF_MGRG_10ng	NBC	2048	12	22	514884	0.352941176470588	0.996038163626937	0.0058252427184466	0.999957273754821
full	ABRF_MGRG_10ng	OneCodexAbundanceFiltered	9	29	5	516906	0.852941176470588	0.999982589013668	0.763157894736842	0.999990327154965
