taxa_id	taxa_lvl	taxa_name
10	genus	Cellvibrio
18	genus	Pelobacter
19	species	Pelobacter carbinolicus
20	genus	Phenylobacterium
22	genus	Shewanella
24	species	Shewanella putrefaciens
32	genus	Myxococcus
33	species	Myxococcus fulvus
34	species	Myxococcus xanthus
40	genus	Stigmatella
41	species	Stigmatella aurantiaca
56	species	Sorangium cellulosum
75	genus	Caulobacter
104	species	Cyclobacterium marinum
105	genus	Runella
106	species	Runella slithyformis
118	genus	Planctomyces
119	species	Rubinisphaera brasiliensis
120	species	Planctopirus limnophila
127	genus	Isosphaera
128	species	Isosphaera pallida
138	genus	Borrelia
140	species	Borrelia hermsii
142	species	Borrelia turicatae
146	genus	Spirochaeta
154	species	Spirochaeta thermophila
157	genus	Treponema
158	species	Treponema denticola
171	genus	Leptospira
172	species	Leptospira biflexa
174	species	Leptospira borgpetersenii
191	genus	Azospirillum
193	species	Azospirillum lipoferum
194	genus	Campylobacter
196	species	Campylobacter fetus
199	species	Campylobacter concisus
209	genus	Helicobacter
210	species	Helicobacter pylori
212	species	Helicobacter acinonychis
213	species	Helicobacter cinaedi
217	species	Helicobacter mustelae
226	genus	Alteromonas
228	species	Pseudoalteromonas haloplanktis
234	genus	Brucella
237	genus	Flavobacterium
262	genus	Francisella
263	species	Francisella tularensis
265	genus	Paracoccus
266	species	Paracoccus denitrificans
270	genus	Thermus
274	species	Thermus thermophilus
277	species	Meiothermus ruber
286	genus	Pseudomonas
287	species	Pseudomonas aeruginosa
288	species	Pseudoalteromonas atlantica
294	species	Pseudomonas fluorescens
300	species	Pseudomonas mendocina
303	species	Pseudomonas putida
316	species	Pseudomonas stutzeri
317	species	Pseudomonas syringae
329	species	Ralstonia pickettii
338	genus	Xanthomonas
339	species	Xanthomonas campestris
352	genus	Azotobacter
354	species	Azotobacter vinelandii
357	genus	Agrobacterium
358	species	Agrobacterium tumefaciens
373	species	Agrobacterium vitis
374	genus	Bradyrhizobium
379	genus	Rhizobium
382	species	Sinorhizobium meliloti
384	species	Rhizobium leguminosarum
404	genus	Methylobacillus
405	species	Methylobacillus flagellatus
407	genus	Methylobacterium
408	species	Methylobacterium extorquens
413	genus	Methylococcus
414	species	Methylococcus capsulatus
416	genus	Methylomonas
421	species	Methylomonas methanica
434	genus	Acetobacter
438	species	Acetobacter pasteurianus
445	genus	Legionella
450	species	Legionella longbeachae
469	genus	Acinetobacter
470	species	Acinetobacter baumannii
475	genus	Moraxella
480	species	Moraxella catarrhalis
482	genus	Neisseria
485	species	Neisseria gonorrhoeae
486	species	Neisseria lactamica
487	species	Neisseria meningitidis
497	genus	Psychrobacter
499	genus	Thermomicrobium
500	species	Thermomicrobium roseum
517	genus	Bordetella
518	species	Bordetella bronchiseptica
520	species	Bordetella pertussis
522	genus	Acidiphilium
532	genus	Beijerinckia
533	species	Beijerinckia indica
541	genus	Zymomonas
542	species	Zymomonas mobilis
